x1,x2,attr_x1,attr_x2
-1.1436454,-2.1067886,-1.0282003,-1.6055974
-0.5387015,0.76327133,-0.72696203,-0.24264914
-2.738542,0.48524153,-0.39340156,-0.21992922
1.209338,-1.646868,0.6787788,-0.87585366
0.41846928,2.728247,0.45664176,-2.1377656
-1.4741013,0.7160692,-1.1304029,-0.26530737
0.14607182,0.2238875,0.13540895,0.039545555
-2.551347,0.564921,-0.5332491,-0.29928216
0.4771859,1.4458994,0.552325,-1.1733158
2.6973476,-1.1815845,0.5163028,-0.8897161
-1.1399649,-0.6394959,-0.91877043,-0.32433861
1.0518705,-1.8231055,0.8383145,-1.2071769
-2.3134823,-1.9717075,-0.50651896,-1.7256339
1.359224,2.792074,1.0897628,-2.2814033
-1.3232006,1.5051421,-1.0928364,-0.93733656
-1.9905673,-0.059949074,-0.8566391,-0.0021187474
0.5435768,-1.7127044,0.46405008,-1.1723775
-3.0152533,-1.5434238,-0.23075403,-1.1253895
2.066791,-2.7769847,0.23723695,-1.5024282
-3.11209,-0.4120725,-0.6020451,-0.12028564
